id,recordingid,shotid,sequenceid,url,date,format,camera,subjectid,glasses,source1,emotion,source2,rank,lefteye,righteye,nose,mouth,yaw,pitch,stageid,weather,collectionid,environmentid,sensorid,illuminantid,illuminantid1,illuminantid2,state,fileid,by_user,lastcheck,date_added,added_by,comment,temp_collectionid,enrolled_date,fileid,userkey,checksum,extension,size,lastcheck,rank,fstate,subjectid,gender,source1,YOB,source2,race,source3,sequence,date_added,s_irises,ethnicity
44383,nd5R55020,2008-093-007-post-mugshot.JPG,05409d221,NULL,04_02_2008,jpeg,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235201,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235201,2008-093-007-post-mugshot.JPG,a85ece0bee0d2be87afa90b53d6b51cf,jpg,861622,05_16_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
44384,nd5R55021,2008-093-007-pre-activity-still.NEF,05409d222,NULL,04_02_2008,nef,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235202,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235202,2008-093-007-pre-activity-still.,89e5902a0be485ee348fa5b09da3363a,nef,8918387,05_04_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
44381,nd5R55022,2008-093-007-passport.NEF,05409d223,NULL,04_02_2008,nef,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00042,nd1N00013,nd1I00010,nd1I00010,NULL,enrolled,235199,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235199,2008-093-007-passport.NEF,7ab679889d4dacbb0e99b40de018e745,nef,5426109,05_16_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
44382,nd5R55023,2008-093-007-post-activity-still.NEF,05409d224,NULL,04_02_2008,nef,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235200,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235200,2008-093-007-post-activity-still,f87472da5d2b058892b19778dc57c71e,nef,9132773,05_16_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
44380,nd5R55024,2008-093-007-hq.NEF,05409d225,NULL,04_02_2008,nef,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235198,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235198,2008-093-007-hq.NEF,2342fd36d191740a918531ee4d623f93,nef,8787322,05_02_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
44378,nd5R55025,2008-093-006-pre-mugshot.JPG,05256d315,NULL,04_02_2008,jpeg,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235196,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235196,2008-093-006-pre-mugshot.JPG,27969b90b9517a7baf92646d1fa733ff,jpg,841957,05_16_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
44379,nd5R55026,2008-093-007-face-closeup.NEF,05409d226,NULL,04_02_2008,nef,NULL,nd1S05409,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00010,Inside,nd1C00011,nd1E00041,nd1N00012,nd1I00010,nd1I00010,NULL,enrolled,235197,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235197,2008-093-007-face-closeup.NEF,cec35b65ff3a84c278fbe47a453e052b,nef,8590798,05_16_2012,0,ok,nd1S05409,Female,Given,1981,Given,White,Retrospectively,2301,07_12_2010,198235,NULL
44377,nd5R55027,2008-093-006-pre-activity-still.NEF,05256d316,NULL,04_02_2008,nef,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235195,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235195,2008-093-006-pre-activity-still.,f4c5003b63f2caafaf558cf64c309d98,nef,9005421,05_16_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
44375,nd5R55028,2008-093-006-post-activity-still.NEF,05256d317,NULL,04_02_2008,nef,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00012,stdI00003,stdI00003,NULL,enrolled,235193,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235193,2008-093-006-post-activity-still,f89509de1af435a753e17e914de786f7,nef,8667763,05_16_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
44376,nd5R55029,2008-093-006-post-mugshot.JPG,05256d318,NULL,04_02_2008,jpeg,NULL,nd1S05256,No,Retrospectively,BlankStare,Given,NULL,NULL,NULL,NULL,NULL,NULL,NULL,nd1T00012,Sunny,nd1C00011,nd1E00044,nd1N00014,stdI00003,stdI00003,NULL,enrolled,235194,flynn,08_23_2008,08_12_2008,dthomas4,NULL,1218579585,NULL,235194,2008-093-006-post-mugshot.JPG,0f86cbe532b0caf21225d38dc8acde60,jpg,911954,05_02_2012,0,ok,nd1S05256,Female,Given,1981,Given,White,Retrospectively,606,06_12_2009,189886,NULL
